LicenseNumber,LicenseType,LicenseStatus,LicenseSubStatus,BusinessName,LocationStreetAddress,LocationCity,LocationState,LocationZip,LocationCounty,Phone,Fax,FirstIssuanceDate,LicenseEffectiveDate,LicenseExpirationDate,BoardAction,Designated Representative License Number,Designated Representative,Latitude,Longitude
MMD.0700155,Medical Marijuana Dispensary - Certificate of Operation,Active,,Amplify,5304 N Hamilton Rd,Columbus,OH,43230-1318,Franklin,(440) 530-2880,,2023.02.07,2023.02.07,2025.07.01,No,MME.05200839,Michael Reed,40.1040964,-82.8470007
MMD.0700092,Medical Marijuana Dispensary - Certificate of Operation,Active,,Amplify,1782 Coventry Rd,Cleveland Heights,OH,44118-1630,Cuyahoga,(440) 552-4139,,2022.03.16,2023.07.02,2025.07.01,No,MME.05201032,Marvin Andrew Keyes,41.51120590909091,-81.58008781818181
MMD.0700158,Medical Marijuana Dispensary - Certificate of Operation,Active,,Ayr Wellness,"27900 Chagrin Blvd, Suites 900B and 900C",Woodmere,OH,44122,Cuyahoga,(216) 230-8328,,2023.10.30,2023.10.30,2025.07.01,No,MME.05200436,Timothy Daniel Stakolich,41.46225696969697,-81.48120334343434
MMD.0700138,Medical Marijuana Dispensary - Certificate of Operation,Active,,Ayr Wellness,6722 State Route 132,Goshen,OH,45122-9249,Clermont,(937) 281-7696,,2023.11.01,2023.11.01,2025.07.01,No,MME.05100317,Paul Lee,39.229659821117096,-84.16336149843058
MMD.0700138,Medical Marijuana Dispensary - Certificate of Operation,Active,,Ayr Wellness,6722 State Route 132,Goshen,OH,45122-9249,Clermont,(937) 281-7696,,2023.11.01,2023.11.01,2025.07.01,No,MME.05200770,Jeffery Robert Burwell,39.229659821117096,-84.16336149843058
MMD.0700111,Medical Marijuana Dispensary - Certificate of Operation,Active,,Backroad Wellness,1503 Harding Hwy,Lima,OH,45804-3173,Allen,(567) 289-6031,,2023.03.30,2023.03.30,2025.07.01,No,MME.05200215,Sarah Louise McCullough,39.229659821117096,-84.16336149843058
MMD.0700135,Medical Marijuana Dispensary - Certificate of Operation,Active,,Backroad Wellness,5748 Glenn Hwy,Cambridge,OH,43725-8769,Guernsey,(740) 255-5592,,2023.03.30,2023.03.30,2025.07.01,No,MME.05201271,Ashland Cale Gentry,40.015685,-81.6155897
MMD.0700165,Medical Marijuana Dispensary - Certificate of Operation,Active,,Backroad Wellness,3210 Rhodes Ave,New Boston,OH,45662-4912,Scioto,(740) 876-4127,,2023.06.21,2023.06.21,2025.07.01,No,MME.05201447,Laura Adkins,38.744026845341665,-82.95026343465176
MMD.0700099,Medical Marijuana Dispensary - Certificate of Operation,Active,,Bear River Dispensary,26 Moore St,Delaware,OH,43015-2027,Delaware,(740) 361-7569,,2023.02.08,2023.02.08,2025.07.01,No,MME.05100331,Tammie Beechum,40.298662981179504,-83.04869336935378
MMD.0700098,Medical Marijuana Dispensary - Certificate of Operation,Active,,BEYOND / HELLO,693 Old State Route 74,Cincinnati,OH,45245,Clermont,(513) 993-3993,,2022.12.29,2022.12.29,2025.07.01,No,MME.05201422,Matthew Scott Davidson,39.512348249999995,-84.390254
MMD.0700119,Medical Marijuana Dispensary - Certificate of Operation,Active,,Bliss Ohio,331 E Main St,Kent,OH,44240-2540,Portage,(330) 765-2508,,2023.04.19,2023.04.19,2025.07.01,No,MME.05201034,Haley Madison Richards,41.15384407512064,-81.35419411174303
